CXXX,完整性,实质性工作,摘要质量,写作水平,总得分,等级
C001,6,6,5,6,23,Medium
C002,8,9,8,8,33,High
C003,8,9,8,8,33,High
C004,6,6,5,6,23,Medium
C005,8,9,8,9,34,High
C006,8,9,8,8,33,High
C007,6,6,5,5,22,Medium
C008,8,9,8,8,33,High
C009,6,6,6,6,24,Medium
C010,8,9,7,8,32,High
C011,7,7,6,7,27,Medium
C012,6,6,4,5,21,Medium
C013,3,3,3,3,12,Low
C014,6,6,5,6,23,Medium
C015,6,6,5,6,23,Medium
C016,6,6,5,6,23,Medium
C017,8,9,8,8,33,High
C018,6,6,5,6,23,Medium
C019,8,9,8,8,33,High
C020,3,3,2,3,11,Low
C021,6,6,5,6,23,Medium
C022,6,6,5,5,22,Medium
C023,3,3,3,3,12,Low
C024,2,3,2,3,10,Low
C025,6,6,6,6,24,Medium
C026,8,9,8,8,33,High
C027,8,9,8,8,33,High
C028,6,6,5,6,23,Medium
C029,8,9,8,8,33,High
C030,6,6,5,5,22,Medium
C031,3,3,3,3,12,Low
C032,6,6,4,6,22,Medium
C033,6,6,6,6,24,Medium
C034,2,3,2,3,10,low
C035,8,9,8,9,34,High
C036,3,3,3,3,12,Low
C037,8,9,8,8,33,High
C038,3,3,3,3,12,Low
C039,3,3,3,3,12,Low
C040,8,8,7,8,31,High
C041,3,3,2,3,11,Low
C042,8,9,8,8,33,High
C043,8,8,7,8,31,High
C044,8,8,8,8,32,High
C045,8,9,8,8,33,High
C046,3,3,2,3,11,Low
C047,8,9,7,8,32,High
C048,8,8,7,8,31,High
C049,8,9,8,8,33,High
C050,6,6,5,6,23,Medium
C051,6,6,6,6,24,Medium
C052,8,9,8,8,33,High
C053,6,6,5,5,22,Medium
C054,8,8,8,8,32,High
C055,8,9,8,8,33,High
C056,6,6,6,6,24,Medium
C057,6,6,5,5,22,Medium
C058,8,8,7,8,31,High
C059,6,6,5,6,23,Medium
C060,8,9,8,8,33,High
C061,6,6,5,6,23,Medium
C062,3,3,3,3,12,Low
C063,6,6,5,5,22,Medium
C064,6,6,4,5,21,Medium
C065,8,9,7,8,32,High
C066,6,6,5,6,23,Medium
C067,6,6,5,5,22,Medium
C068,8,9,8,8,33,High
C069,6,6,5,6,23,Medium
C070,3,3,3,3,12,Low
C071,6,6,5,5,22,Medium
C072,6,6,5,6,23,Medium
C073,6,6,6,6,24,Medium
C074,3,3,3,3,12,Low
C075,6,6,6,6,24,Medium
C076,6,6,6,6,24,Medium
C077,8,9,8,8,33,High
C078,3,3,2,3,11,Low
C079,6,6,5,5,22,Medium
C080,6,6,5,6,23,Medium
C081,8,9,7,8,32,High
C082,4,4,3,4,15,Low
C083,8,8,7,8,31,High
C084,8,9,8,8,33,High
C085,8,8,7,8,31,High
C086,6,6,5,6,23,Medium
C087,6,6,5,6,23,Medium
C088,6,6,5,6,23,Medium
C089,8,8,7,8,31,High
C090,3,3,2,3,11,Low
C091,8,9,8,8,33,High
C092,8,9,8,8,33,High
C093,3,3,2,3,11,Low
C094,3,3,2,3,11,Low
C095,8,9,8,8,33,High
C096,8,9,8,8,33,High
C097,6,6,5,6,23,Medium
C098,6,6,5,6,23,Medium
C099,3,3,2,3,11,Low
C100,3,3,3,3,12,Low
C101,8,8,7,8,31,High
C102,6,6,5,6,23,Medium
C103,8,9,8,8,33,High
C104,8,8,7,8,31,High
C105,3,3,3,3,12,Low
C106,8,9,8,8,33,High
C107,8,9,8,8,33,High
C108,8,9,8,8,33,High
C109,8,8,7,8,31,High
C110,6,6,5,5,22,Medium
C111,6,6,5,6,23,Medium
C112,6,6,5,6,23,Medium
C113,6,6,6,6,24,Medium
C114,8,8,8,8,32,High
C115,6,6,5,6,23,Medium
C116,8,9,7,8,32,High
C117,8,8,7,8,31,High
C118,3,3,3,3,12,Low
C119,6,7,6,6,25,Medium
C120,6,6,5,5,22,Medium
C121,6,6,5,6,23,Medium
C122,3,3,3,3,12,Low
C123,3,3,3,3,12,Low
C124,6,6,4,6,22,Medium
C125,6,6,5,6,23,Medium
C126,6,6,4,5,21,Medium
C127,8,9,7,8,32,High
C128,6,6,5,6,23,Medium
C129,3,3,3,3,12,Low
C130,8,9,8,8,33,High
C131,3,3,2,3,11,Low
C132,7,7,6,6,26,Medium
C133,6,6,5,5,22,Medium
C134,8,8,7,8,31,High
C135,8,8,7,8,31,High
C136,8,8,7,8,31,High
C137,6,6,2,5,19,Medium
C138,8,9,7,8,32,High
C139,3,3,3,3,12,Low
C140,3,3,3,3,12,Low
C141,6,6,6,6,24,Medium
C142,6,6,5,6,23,Medium
C143,4,4,3,4,15,Low
C144,8,9,8,8,33,High
C145,8,9,8,8,33,High
C146,8,9,8,8,33,High
C147,6,6,5,5,22,Medium
C148,6,6,5,6,23,Medium
C149,8,9,7,8,32,High
C150,6,6,5,5,22,Medium
C151,8,8,8,8,32,High
C152,3,3,2,3,11,Low
C153,8,9,8,0,33,High
C154,8,8,8,8,32,High
C155,8,9,8,8,33,High
C156,8,9,8,8,33,High
C157,6,6,5,6,23,Medium
C158,6,6,5,6,23,Medium
C159,3,3,3,3,12,Low
C160,8,9,7,8,32,High
C161,6,6,6,6,24,Medium
C162,6,6,5,6,23,Medium
C163,8,9,8,8,33,High
C164,8,8,7,8,31,High
C165,6,6,5,5,22,Medium
C166,6,6,5,0,23,Medium
C167,8,8,7,8,31,High
C168,3,3,3,3,12,low
C169,6,6,4,5,21,Medium
C170,6,6,5,6,23,Medium
C171,4,4,3,4,15,Low
C172,8,9,8,8,33,High
C173,6,6,5,5,22,Medium
C174,8,9,8,8,33,High
C175,8,8,7,8,31,High
C176,6,6,5,6,23,Medium
C177,3,3,3,3,12,Low
C178,6,6,4,4,20,Medium
C179,7,7,6,7,27,Medium
C180,8,8,7,8,31,High
C181,3,3,2,3,11,Low
C182,8,9,8,8,33,High
C183,6,6,5,6,23,Medium
C184,3,4,3,4,14,Low
C185,8,9,8,8,33,High
C186,8,8,7,8,31,High
C187,8,9,8,8,33,High
C188,3,3,3,3,12,Low
C189,3,3,2,3,11,Low
C190,6,6,4,5,21,Medium
C191,3,3,3,3,12,Low
C192,8,8,8,8,32,High
C193,6,6,5,6,23,Medium
C194,6,6,6,6,24,Medium
C195,3,3,3,3,12,Low
C196,6,6,6,6,24,Medium
C197,3,3,3,3,12,Low
C198,8,9,8,8,33,High
C199,3,3,2,3,11,Low
C200,6,6,5,6,23,Medium
C201,8,9,8,8,33,High
C202,7,7,5,6,25,Medium
C203,6,6,6,0,24,Medium
C204,3,3,2,3,11,Low
C205,5,6,4,5,20,Medium
C206,3,3,2,3,11,Low
C207,6,7,5,6,24,Medium
C208,8,8,7,8,31,High
C209,6,6,4,6,22,Medium
C210,6,6,5,6,23,Medium
C211,6,6,6,6,24,Medium
C212,8,8,7,8,31,High
C213,8,8,8,8,32,High
C214,6,6,4,4,20,Medium
C215,8,9,8,8,33,High
C216,3,3,2,3,11,low
C217,8,9,8,8,33,High
C218,6,6,6,6,24,Medium
C219,6,6,5,5,22,Medium
C220,8,8,8,8,32,High
C221,6,6,4,4,20,Medium
C222,6,6,5,5,22,Medium
C223,3,3,2,3,11,Low
C224,8,8,7,8,31,High
C225,8,9,8,8,33,High
C226,8,9,8,8,33,High
C227,8,9,7,8,32,High
C228,8,9,8,8,33,High
C229,2,2,2,2,8,Low
C230,6,6,5,6,23,Medium
C231,3,3,2,3,11,Low
C232,0,0,0,0,9,Low
C233,8,9,8,8,33,High
C234,6,6,5,6,23,Medium
C235,5,6,4,5,20,Medium
C236,6,6,5,6,23,Medium
C237,6,6,5,5,22,Medium
C238,6,6,6,6,24,Medium
C239,8,9,8,8,33,High
C240,6,6,5,6,23,Medium
C241,6,6,5,5,22,Medium
C242,6,6,4,4,20,Medium
C243,8,8,7,8,31,High
C244,6,6,5,5,22,Medium
C245,8,8,7,8,31,High
C246,6,6,4,4,20,Medium
C247,6,6,5,6,23,Medium
C248,8,9,8,8,33,High
C249,8,8,7,8,31,High
C250,8,8,7,8,31,High
C251,6,6,5,5,22,Medium
C252,6,6,5,6,23,Medium
C253,3,3,3,3,12,Low
C254,5,6,4,5,20,Medium
C255,8,8,7,8,31,High
C256,8,9,7,8,32,High
C257,3,4,3,4,14,Low
C258,6,6,5,5,22,Medium
C259,6,6,5,6,23,Medium
C260,8,9,7,8,32,High
C261,7,7,6,6,26,Medium
C262,6,6,5,5,22,Medium
C263,6,6,5,5,22,Medium
C264,8,8,8,8,32,High
C265,3,3,2,3,11,Low
C266,5,5,4,5,19,low
C267,8,8,8,8,32,High
C268,6,6,6,6,24,Medium
C269,6,6,5,6,23,Medium
C270,6,6,5,6,23,Medium
C271,8,9,8,8,33,High
C272,6,6,5,6,23,Medium
C273,6,6,5,6,23,Medium
C274,4,4,3,3,14,Low
C275,8,9,7,8,32,High
C276,3,4,3,3,13,Low
C277,8,9,8,8,33,High
C278,6,6,5,6,23,Medium
C279,6,6,5,6,23,Medium
C280,8,8,7,8,31,High
C281,6,6,4,5,21,Medium
C282,8,8,7,8,31,High
C283,8,9,8,8,33,High
C284,3,3,2,3,11,Low
C285,6,6,5,6,23,Medium
C286,6,6,4,5,21,Medium
C287,6,6,5,5,22,Medium
C288,8,8,7,8,31,High
C289,6,6,5,5,22,Medium
C290,5,6,4,5,20,Medium
C291,6,6,4,4,20,Medium
C292,3,3,2,3,11,Low
C293,8,9,7,8,32,High
C294,3,3,2,3,11,Low
C295,8,9,8,8,33,High
C296,8,9,8,8,33,High
C297,6,6,5,5,22,Medium
C298,8,9,8,8,33,High
C299,6,6,5,6,23,Medium
C300,3,3,3,3,12,Low
C301,8,9,7,8,32,High
C302,6,6,5,6,23,Medium
C303,3,3,3,3,12,Low
C304,8,9,8,8,33,High
C305,8,8,7,8,31,High
C306,6,6,5,5,22,Medium
C307,3,3,3,3,12,Low
C308,8,8,8,8,32,High
C309,6,6,5,5,22,Medium
C310,6,6,5,6,23,Medium
C311,3,3,3,3,12,Low
C312,8,9,8,8,33,High
C313,8,9,8,8,33,High
C314,3,3,3,3,12,Low
C315,6,6,5,6,23,Medium
C316,2,2,2,2,8,low
C317,3,3,2,3,11,Low
C318,8,8,7,8,31,High
C319,3,3,3,3,12,Low
C320,6,6,5,5,22,Medium
C321,8,8,7,8,31,High
C322,6,6,5,6,23,Medium
C323,6,6,5,6,23,Medium
C324,3,3,2,3,11,Low
C325,8,9,8,9,34,High
C326,6,6,5,5,22,Medium
C327,8,8,7,0,31,High
C328,8,8,8,8,32,High
C329,8,9,8,8,33,High
C330,6,6,5,6,23,Medium
C331,3,3,2,3,11,Low
C332,6,6,5,6,23,Medium
C333,6,6,5,5,22,Medium
C334,7,7,6,7,27,Medium
C335,6,6,5,6,23,Medium
C336,8,9,8,8,33,High
C337,6,6,5,6,23,Medium
C338,3,3,3,3,12,Low
C339,3,3,3,3,12,Low
C340,6,6,5,6,23,Medium
C341,6,6,5,5,22,Medium
C342,8,9,8,8,33,High
C343,3,3,2,3,11,Low
C344,8,8,8,8,32,High
C345,8,9,8,8,33,High
C346,6,6,4,4,20,Medium
C347,8,9,8,0,33,High
C348,8,8,7,8,31,High
C349,7,7,6,6,26,Medium
C350,8,9,8,8,33,High
C351,3,3,2,3,11,Low
C352,6,6,5,5,22,Medium
C353,6,6,6,6,24,Medium
C354,6,6,6,6,24,Medium
C355,8,9,8,8,33,High
C356,6,6,5,5,22,Medium
C357,8,9,8,8,33,High
C358,8,9,7,8,32,High
C359,8,8,7,8,31,High
C360,8,9,8,8,33,High
C361,6,7,6,6,25,Medium
C362,8,9,7,8,32,High
C363,6,6,6,6,24,Medium
C364,3,4,3,3,13,Low
C365,6,6,5,6,23,Medium
C366,7,7,6,6,26,Medium
C367,3,3,2,3,11,Low
C368,6,6,6,6,24,Medium
C369,8,8,8,8,32,High
C370,8,9,7,8,32,High
C371,6,6,6,6,24,Medium
C372,3,3,2,3,11,Low
C373,3,3,3,3,12,Low
C374,6,6,6,6,24,Medium
C375,7,7,6,6,26,Medium
C376,6,6,4,4,20,Medium
C377,6,6,5,6,23,Medium
C378,6,6,4,4,20,Medium
C379,3,3,2,3,11,Low
C380,6,6,5,6,23,Medium
C381,3,3,3,3,12,Low
C382,8,8,7,8,31,High
C383,6,6,5,6,23,Medium
C384,3,3,2,3,11,Low
C385,8,8,7,8,31,High
C386,6,6,5,6,23,Medium
C387,6,6,5,6,23,Medium
C388,8,9,8,8,33,High
C389,3,3,3,3,12,Low
C390,6,6,5,6,23,Medium
C391,8,8,7,8,31,High
C392,8,9,8,8,33,High
C393,3,3,2,3,11,Low
C394,6,6,5,6,23,Medium
C395,6,6,5,6,23,Medium
C396,3,3,3,3,12,Low
