ilename,text_flow_score,writing_standard_score,structure_score,references_score,formulas_score,images_and_tables_score,pdf_length_score,word_count_score,title_score,total_score
C001.pdf,7,5.612586476232984,4.0,10,10,7,0.0,7,3.9393939393939394,54.55198041562692
C002.pdf,7,5.647699041760321,0.75,10,10,10,2.0229999999999997,10,4.242424242424242,59.66312328418456
C003.pdf,7,5.56898928836568,4.0,9,10,10,0.0,10,4.242424242424242,59.81141353078992
C004.pdf,7,4.524011128583525,4.5,10,10,5,1.0760000000000005,10,5.37190082644628,57.4719119550298
C005.pdf,7,5.095571991163192,4.0,10,10,10,0.0,10,3.6363636363636367,59.73193562752682
C006.pdf,7,5.574123097286565,4.0,10,6,10,5.083,10,6.828777283322738,64.48590038060931
C007.pdf,7,4.894610627287644,4.0,4,5,0,0.0,10,4.848484848484849,39.7430954757725
C008.pdf,7,5.420495521693614,3.75,10,10,8,10.0,10,2.121212121212121,66.29170764290573
C009.pdf,7,5.243981782693559,3.75,10,10,7,3.069000000000001,10,4.242424242424242,60.305406025117804
C010.pdf,7,5.988407565588774,5.0,10,10,3,8.479333333333333,10,0.9090909090909092,60.37683180801301
C011.pdf,7,5.390098099325567,1.75,10,10,10,0.0,10,5.068870523415978,59.20896862274155
C012.pdf,7,5.431378569235493,1.75,1,10,6,0.0,8,6.129476584022039,45.31085515325753
C013.pdf,7,5.312331233123312,4.75,1,4,2,0.3470000000000013,10,4.848484848484849,39.25781608160816
C014.pdf,7,4.968041836141778,4.5,2,10,7,0.0,10,3.6363636363636367,49.10440547250542
C015.pdf,7,5.086826347305388,2.75,4,10,10,0.0,9,4.242424242424242,52.07925058972963
C016.pdf,7,5.444697833523375,4.5,0,10,5,0.0,9,5.8264462809917354,46.77114411451511
C017.pdf,7,5.837513631406761,1.0,10,10,10,2.1029999999999998,10,5.37190082644628,61.312414457853045
C018.pdf,7,5.355171144644829,3.75,0,2,10,7.51,8,4.545454545454545,48.16062569009937
C019.pdf,7,5.477331606217617,4.25,10,10,7,4.837666666666666,10,2.121212121212121,60.686210394096406
C020.pdf,7,5.230959097320169,4.0,0,8,3,0.8360000000000003,10,3.0303030303030303,41.0972621276232
C021.pdf,7,4.903256574465186,3.5,10,10,2,0.0,10,5.068870523415978,52.47212709788117
C022.pdf,7,5.563077939233818,3.75,0,10,10,5.8309999999999995,7,3.6363636363636367,52.780441575597465
C023.pdf,7,5.761150018429783,2.5,1,1,0,1.4699999999999989,2,5.37190082644628,26.10305084487606
C024.pdf,7,5.874439461883409,4.0,3,1,3,0.0,0,3.9393939393939394,27.81383340127735
C025.pdf,7,5.029667831198359,1.5,0,10,10,0.0,10,5.247933884297521,48.777601715495884
C026.pdf,7,5.314798653534472,3.0,7,10,10,4.5280000000000005,10,5.068870523415978,61.91166917695044
C027.pdf,7,5.514247971315342,1.0,10,10,10,0.0,10,4.242424242424242,57.756672213739584
C028.pdf,7,5.794172932330826,4.75,0,10,7,6.715,8,3.9393939393939394,53.198566871724765
C029.pdf,7,5.639374425022999,3.75,10,10,5,8.867,10,3.333333333333333,63.58970775835633
